Bar Code,Description,Category Name,Location Name,Serial Number,Manufacturer Name,Division,Department
1001142,B5460DN,LASER PRINTER,SE210,DDPFSS1,DELL,INSTRUCTION,HUMAN SERVICES
2000896,B3460DN,LASER PRINTER,B104,8DBLSS1,DELL,INSTRUCTION,MATHEMATICS
1001145,B5460DN,LASER PRINTER,E024,4R00522,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001144,B5460DN,LASER PRINTER,SE002A,9900522,DELL,INSTRUCTION,ALLIED HEALTH
1001146,B5460DN,LASER PRINTER,W259,3Q00522,DELL,INSTRUCTION,COMPUTER INFORMATION SYSTEMS
1001147,B5460DN,LASER PRINTER,W260,5C00522,DELL,INSTRUCTION,COMPUTER INFORMATION SYSTEMS
1001148,B5460DN,LASER PRINTER,W261,6N00522,DELL,INSTRUCTION,COMPUTER INFORMATION SYSTEMS
1001149,B5460DN,LASER PRINTER,E207,6Q00522,DELL,BUSINESS SERVICES,BUSINESS OFFICE
1001150,B5460DN,LASER PRINTER,W258,8900522,DELL,INSTRUCTION,COMPUTER INFORMATION SYSTEMS
1001151,B5460DN,LASER PRINTER,W250,6R00522,DELL,IIT,COMPUTING SUPPORT
1001153,B5460DN,LASER PRINTER,W262,6L00522,DELL,INSTRUCTION,ENGLISH/READING
1001154,B5460DN,LASER PRINTER,W275,4S00522,DELL,INSTRUCTION,BUSINESS ADMINISTRATION
1001155,B5460DN,LASER PRINTER,W366,4M00522,DELL,INSTRUCTION,ENGLISH/READING
1001156,B2360DN ,LASER PRINTER,SE125D,DZ9ZSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001157,B2360DN ,LASER PRINTER,E033,1Z9ZSS1,,IIT,TELECOMMUNICATION
1001158,B2360DN ,LASER PRINTER,E400,HZ9ZSS1,DELL,INSTRUCTION,DEAN OF INSTRUCTION
1001160,B2360DN ,LASER PRINTER,E214,50BZSS1,DELL,STUDENT AFFAIRS,DEAN OF STUDENT AFFAIRS 
1001161,B2360DN ,LASER PRINTER,SE006,CY9ZSS1,DELL,INSTRUCTION,ALLIED HEALTH
1001165,B2360DN ,LASER PRINTER,W051,FW9ZSS1,DELL,PUBLIC SAFETY,PUBLIC SAFETY
1001166,B2360DN ,LASER PRINTER,E206,8Z9ZSS1,DELL,BUSINESS SERVICES,BUSINESS OFFICE
2000933,B2360DN ,LASER PRINTER,E219,7D2ZSS1,DELL,INSTRUCTION,BIO SCIENCE
2000930,B5460DN,LASER PRINTER,A226,GBZZ422,DELL,,COMPUTER INFORMATION SYSTEMS
2000888,,LASER PRINTER,B218,GFBLSS1,DELL,CAMPUS DIRECTOR,MARKETING
2000889,B3460DN,LASER PRINTER,D138,4R8LSS1,DELL,INSTRUCTION,SOCIAL SCIENCES
2000891,B3460DN,LASER PRINTER,A130,F6CLSS1,DELL,PUBLIC SAFETY,PUBLIC SAFETY
,B3460DN,,A130,HQ8LSS1,DELL,PUBLIC SAFETY,PUBLIC SAFETY
2000927,B3460DN,LASER PRINTER,A160,H9CLSS1,DELL,ADMINISTRATIVE SERVICES,ADMINISTRATIVE SERVICES 
2000901,B3460DN,LASER PRINTER,B214,G3CLSS1,DELL,,HUMAN RESOURCES 
2000926,B2360DN,LASER PRINTER,E212,HD2ZSS1,DELL,INSTRUCTION,BIO SCIENCE
2001070,B3460DN,LASER PRINTER,B119,B4CLSS1,DELL,STUDENT AFFAIRS,REGISTRAR
2001074,B3460DN,LASER PRINTER,B118,72CLSS1,DELL,STUDENT AFFAIRS,REGISTRAR
2000932,B5460DN,LASER PRINTER,B134,J6ZZ422 ,DELL,INSTRUCTION,MATHEMATICS
2001076,B5460DN,LASER PRINTER,B110,JDZZ422,DELL,INSTRUCTION,ENGLISH/READING
2001075,B5460DN,LASER PRINTER,B130,CBZZ422,DELL,INSTRUCTION,MATHEMATICS
2001071,B2360DN ,LASER PRINTER,B140,5D2ZSS1,DELL,INSTRUCTION,DEAN OF INSTRUCTION
2000928,B2360DN ,LASER PRINTER,D108,FD2ZSS1,DELL,STUDENT AFFAIRS,COUNSELING 
2000931,B2360DN ,LASER PRINTER,A145,2F2ZSS1,DELL,INSTRUCTION,DEAN OF INSTRUCTION
2000929,B2360DN ,LASER PRINTER,D111,4D2ZSS1,DELL,STUDENT AFFAIRS,COUNSELING 
2001069,B5460DN,LASER PRINTER,D125A,JMZZ422,DELL,STUDENT AFFAIRS,CAREER CENTER
1001278,B3465DN,LASER PRINTER,E115,HSBJSS1,DELL,STUDENT AFFAIRS,ADVISEMENT
2001045,B5460DN,LASER PRINTER,C129,HFZZ422,DELL,INSTRUCTION,MATHEMATICS
2001044,B5460DN,LASER PRINTER,C144,GKZZ422,DELL,INSTRUCTION,NURSING
2001046,B5460DN,LASER PRINTER,C128,GNZZ422,DELL,INSTRUCTION,PHYSICS
2001048,B5460DN,LASER PRINTER,B122,8NZZ422,DELL,BUSINESS SERVICES,BUSINESS OFFICE
2001047,B5460DN,LASER PRINTER,A220,H5ZZ422,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,COMPUTER INSTITUTE
2001051,B5460DN,LASER PRINTER,D121,G5ZZ422,DELL,INSTRUCTION,TESTING CENTER
2001050,B5460DN,LASER PRINTER,B122,G3ZZ422,DELL,BUSINESS SERVICES,BUSINESS OFFICE
2001052,B5460DN,LASER PRINTER,B122,HMZZ422,DELL,BUSINESS SERVICES,BUSINESS OFFICE
2001055,B5460DN,LASER PRINTER,C267,FLZZ422,DELL,INSTRUCTION,NURSING
2001049,B5460DN,LASER PRINTER,C267,H6ZZ422,DELL,INSTRUCTION,NURSING
2001043,B2360DN ,LASER PRINTER,C288,BC2ZSS1,DELL,INSTRUCTION,NURSING
2001053,B2360DN ,LASER PRINTER,C142,GD2ZSS1,DELL,INSTRUCTION,NURSING
