Bar Code,Description,Category Name,Location Name,Serial Number,Manufacturer Name,Division,Department
2002664,PRINTRBOT SIMPLE V2,3D PRINTER,F101,10300,UNKNOWN ,INSTRUCTION,ELECTRONICS
1003527,B2375DNF,LASER PRINTER,E005,73KZ4Y1,DELL,STUDENT AFFAIRS,SGA
2002666,C3760DN,COLOR LASER PRINTER,A154,JC57F52,DELL,DEMEP,DEMEP
2002678,B2360DN ,LASER PRINTER,D122B,3G5XSS1 ,DELL,STUDENT AFFAIRS,ADMISSIONS
1003364,S2830DN,PRINTERS,E015,61XVQ92,DELL,IIT,MEDIA SUPPORT
1003360,S2830DN,LASER PRINTER,SE002B,5DWVQ92,DELL,INSTRUCTION,ALLIED HEALTH
2002682,S2830DN,LASER PRINTER,I126,5XTVQ92,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
2002679,S2830DN,LASER PRINTER,D140,FXTVQ92,DELL,STUDENT AFFAIRS,ATHLETICS
2002687,S2830DN,LASER PRINTER,C157,2YTVQ92,DELL,INSTRUCTION,NURSING
2002686,S2830DN,LASER PRINTER,C269,GGTVQ92,DELL,INSTRUCTION,NURSING
2002685,S2830DN,LASER PRINTER,C270,6TTVQ92,DELL,INSTRUCTION,NURSING
2002684,S2830DN,LASER PRINTER,C271,DWTVQ92,DELL,INSTRUCTION,NURSING
2002683,S2830DN,LASER PRINTER,C273,2XTVQ92,DELL,INSTRUCTION,NURSING
1001532,5350DN,PRINTERS,STORAGE,H5N0522,DELL,IIT,COMPUTING SUPPORT
10851,2335DN,PRINTERS,E406,F4BJ7R1,DELL,INSTRUCTION,TESTING CENTER
1003368,S2830DN,PRINTERS,E006,HOXVQ92,DELL,STUDENT AFFAIRS,PEER ASSOCIATE PROGRAM
1003541,B2375DNF,PRINTERS,SE100B,H2P25Y1,DELL,PUBLIC SAFETY,PUBLIC SAFETY
2002688,S5830DN,LASER PRINTER,E106,1YJ1R92,DELL,INSTRUCTION,MECHANICAL ENGINEERING
1003543,S2830DN,LASER PRINTER,W078,3CWVQ92,DELL,INSTRUCTION,ALLIED HEALTH
1003542,S2825CDN,MULTI-FUNCTION PRINTER,E331,H15BZC2,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1003544,S2830DN,LASER PRINTER,W078,9CWVQ92,DELL,INSTRUCTION,ALLIED HEALTH
1003545,S2830DN,LASER PRINTER,W264,GYVVQ92,DELL,INSTRUCTION,ENGLISH/READING
2002693,S2830DN,LASER PRINTER,A150,9XTVQ92,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,CAFETERIA
1003550,B5465DNF,MULTI-FUNCTION PRINTER,E206,41JMQ42,DELL,BUSINESS SERVICES,BUSINESS OFFICE
1003367,S2830DN,LASER PRINTER,SE125,4CWVQ92,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1003372,S2830DN,LASER PRINTER,E213,41XVQ92,DELL,STUDENT AFFAIRS,DEAN OF STUDENT AFFAIRS 
1003369,S2830DN,LASER PRINTER,W358,DCWVQ92,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1003366,S2830DN,LASER PRINTER,SE210B,GIXVQ92,DELL,INSTRUCTION,HUMAN SERVICES
1003365,S2830DN,LASER PRINTER,SE210J,2DWVQ92,DELL,INSTRUCTION,HUMAN SERVICES
1003557,C2660DN,COLOR LASER PRINTER,E206,4F37F52,DELL,BUSINESS SERVICES,BUSINESS OFFICE
2002694,B5465DNF,MULTI-FUNCTION PRINTER,C267,BHVGSS1,DELL,INSTRUCTION,NURSING
1003559,S2825CDN,COLOR LASER PRINTER,SE037,JQ7BZC2,DELL,INSTRUCTION,DENTAL HYGIENE
1003558,S2830DN,LASER PRINTER,SE305A,3F37F52,DELL,INSTRUCTION,ALLIED HEALTH
1003560,B2360,LASER PRINTER,E216,5SGVSS1,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
1003561,S2830DN,LASER PRINTER,SE308B,6CWVQ92,DELL,INSTRUCTION,ALLIED HEALTH
1003563,B5465DNF,MULTI-FUNCTION PRINTER,E324B,7YHMQ42,DELL,IIT,COMPUTING SUPPORT
1003564,S2830DN,LASER PRINTER,W065,1WVVQ92,DELL,HUMAN RESOURCES,WELLNESS CENTER
1003565,S2830DN,LASER PRINTER,W282,HCWVQ92,DELL,INSTRUCTION,ENGLISH/READING
1003570,S2830DN,LASER PRINTER,STORAGE,29K1R92,DELL,STUDENT AFFAIRS,ADMISSIONS
1003568,S2830DN,LASER PRINTER,CDC,30TWQ92,DELL,IIT,CHILD DEVELOPMENT CENTER
1003566,S2830DN,LASER PRINTER,E221,C7RWQ92,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
1003567,S2830DN,LASER PRINTER,E220,FZSWQ92,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
1003551,S2830DN,LASER PRINTER,E121,FCWVQ92,DELL,STUDENT AFFAIRS,COUNSELING 
2002748,B3460DN,LASER PRINTER,B202,1SMRWD2 ,DELL,CAMPUS DIRECTOR,CAMPUS DIRECTOR
2002752,S2830DN,LASER PRINTER,A229,J24XQ92,DELL,IIT,COMPUTING SUPPORT
2002754,S5830DN,LASER PRINTER,A211,4RS1R92,DELL,INSTRUCTION,MATHEMATICS
2002762,S2830DN,LASER PRINTER,A229,CJCXQ92,DELL,IIT,COMPUTING SUPPORT
2002774,B5460DN,LASER PRINTER,A227,7HYZ422,DELL,IIT,COMPUTING SUPPORT
2002760,S5830DN,LASER PRINTER,B203,4FS1R92,DELL,CAMPUS DIRECTOR,CAMPUS DIRECTOR
2002778,B5465DNF,MULTI-FUNCTION PRINTER,B204,3PJMQ42 ,DELL,CAMPUS DIRECTOR,MARKETING
1000880,B2360,LASER PRINTER,E302,835XSS1,DELL,BUSINESS SERVICES,COPY CENTER
1001600,C2660DN,COLOR LASER PRINTER,CDC,JKW7F52,DELL,INSTRUCTION,CHILD DEVELOPMENT CENTER
1001675,SB360,CARD PRINTER,SE100A,B26962,DATACARD,PUBLIC SAFETY,PUBLIC SAFETY
1003373,S2830DN,LASER PRINTER,SE308C,35SD260 ,DELL,INSTRUCTION,ALLIED HEALTH
2002755,S5830DN,LASER PRINTER,C137,4FS1R92,DELL,INSTRUCTION,NURSING
1003432,S2830DN,LASER PRINTER,E107,5B7YQ92,DELL,BUSINESS SERVICES,FINANCIAL AID OFFICE
2002730, BMP-21-PLUS,LABEL MAKER,C131,PGM211630009160,BRADY,IIT,SYSTEMS
1001608,S2830DN,LASER PRINTER,E206,JHJYQ92,DELL,BUSINESS SERVICES,BUSINESS OFFICE
1001609,S2830DN,LASER PRINTER,SE308D,9JJYQ92,DELL,INSTRUCTION,ALLIED HEALTH
1003759,S2830DN,LASER PRINTER,W351,3JJYQ92,DELL,CAMPUS DIRECTOR,CAMPUS DIRECTOR
1003761,S2830DN,LASER PRINTER,W352,FPJQ92,DELL,CAMPUS DIRECTOR,CAMPUS DIRECTOR
2003000,S2830DN,LASER PRINTER,B122,45KYQ92,DELL,BUSINESS SERVICES,BUSINESS OFFICE
2002955,S5830DN,LASER PRINTER,A201,7SY1R92,DELL,INSTRUCTION,ENGLISH/READING
2002954,S5830DN,LASER PRINTER,A225,BRY1R92,DELL,INSTRUCTION,MATHEMATICS
1003593,S2830DN,LASER PRINTER,W364,HPJYQ92,DELL,CAMPUS DIRECTOR,INSTITUTIONAL ADVANCEMENT
1002555,S2825CDN,COLOR LASER PRINTER,E408,40m7yl2,,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,UPWARD BOUND
2002966,S2830DN,LASER PRINTER,B123,BP4ZQ92,DELL,BUSINESS SERVICES,BUSINESS OFFICE
2002964,S2830DN,LASER PRINTER,B219,J3KYQ92,DELL,CAMPUS DIRECTOR,INSTITUTIONAL ADVANCEMENT
2002967,VERSALINK B605X,MULTI-FUNCTION PRINTER,B122,5XB491650,XEROX,BUSINESS SERVICES,BUSINESS OFFICE
2002997,B3465DNF,MULTI-FUNCTION PRINTER,C284,J2PJSS1,DELL,INSTRUCTION,NURSING
2002996,B3465DNF,MULTI-FUNCTION PRINTER,C267,7WRJSS1,DELL,INSTRUCTION,NURSING
1005001,S2830DN,LASER PRINTER,SE036,FQJQ92,DELL,INSTRUCTION,DENTAL HYGIENE
2002998,B3465DNF,MULTI-FUNCTION PRINTER,B125,H2PJSS1,DELL,BUSINESS SERVICES,FINANCIAL AID OFFICE
2002999,B3465DNF,MULTI-FUNCTION PRINTER,D105,51SJSS1 ,DELL,STUDENT AFFAIRS,DEAN OF STUDENT AFFAIRS 
2003077,S3840CDN,COLOR LASER PRINTER,I116,D2Q5XD2,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
2003076,B3465DNF,MULTI-FUNCTION PRINTER,I116,D2SJSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
2003079,S5840CDN,COLOR LASER PRINTER,I102,F523R92,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
2003078,B3465DNF,MULTI-FUNCTION PRINTER,I102,H8SJSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
2003080,B2360DN ,LASER PRINTER,A148,5K3ZSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
2003090,B3465DNF,MULTI-FUNCTION PRINTER,D107,36SJSS1,DELL,STUDENT AFFAIRS,DEAN OF STUDENT AFFAIRS 
2003091,B3465DNF,MULTI-FUNCTION PRINTER,F117,GVPJSS1,DELL,INSTRUCTION,ELECTRONICS
2003068,S5840CDN,COLOR LASER PRINTER,B135,4623R92,DELL,INSTRUCTION,DEAN OF INSTRUCTION
1003828,S5830DN,LASER PRINTER,E206,7RY1R92,DELL,BUSINESS SERVICES,BUSINESS OFFICE
1003760,B3460DN,LASER PRINTER,E203,6S1SWD2,DELL,STUDENT AFFAIRS,REGISTRAR
1003915,B5465DNF,MULTI-FUNCTION PRINTER,SE220,59JMQ42,DELL,INSTRUCTION,LANGUAGE AND CULTURE
1003916,S5830DN,LASER PRINTER,E103,3NY1R92,DELL,BUSINESS SERVICES,FINANCIAL AID OFFICE
1003927,B3465DN,MULTI-FUNCTION PRINTER,E406,C9SJSS1,DELL,INSTRUCTION,TESTING CENTER
2003236,LASERJET ENTERPRISE M750DN,COLOR LASER PRINTER,B236,CNFCL3809M,HP,INSTRUCTION,ARCHITECTURAL
2003240,700 M712DN,LASER PRINTER,A231,CNECL360KB,HP,INSTRUCTION,ARCHITECTURAL
1003597,E525W,MULTI-FUNCTION PRINTER,SE038,892JOL2,DELL,INSTRUCTION,DENTAL HYGIENE
2003288,S2830DN,LASER PRINTER,B213C,7WVZQ92,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
2003290,S2830DN,LASER PRINTER,B213,8VVZQ92,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
2003292,S2830DN,LASER PRINTER,A229,BVVZQ92,DELL,IIT,COMPUTING SUPPORT
2003289,S2830DN,LASER PRINTER,B214A,CVVZQ92,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
2003286,WORKCENTRE 6515,MULTI-FUNCTION PRINTER,D105,5AV805111,XEROX,STUDENT AFFAIRS,DEAN OF STUDENT AFFAIRS 
2003294,700 M712DN,LASER PRINTER,B234,CNECKDL0SS,HP,INSTRUCTION,ARCHITECTURAL
2003083,S5830DN,LASER PRINTER,D142,7YY1R92,DELL,INSTRUCTION,CRIMINAL JUSTICE
2003304,S2830DN,LASER PRINTER,B214,B3WZQ92,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
1003948,S5830DN,LASER PRINTER,E206,3MY1R92 ,DELL,BUSINESS SERVICES,BUSINESS OFFICE
1003949,S5830DN,LASER PRINTER,E206,2YY1R92 ,DELL,BUSINESS SERVICES,BUSINESS OFFICE
2003307,DESIGNJET T120,PLOTTER ,A230,CN7ANFM01F,HP,INSTRUCTION,ARCHITECTURAL
2003300,S5840CDN,COLOR LASER PRINTER,B122,8423R92,DELL,BUSINESS SERVICES,BUSINESS OFFICE
2003299,B2360DN ,LASER PRINTER,A174,29VZSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
2003256,S2830DN,LASER PRINTER,HALLWAY,B0LZQ92 ,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
2003321,S5840CDN,COLOR LASER PRINTER,E201,J423R92 ,DELL,INSTRUCTION,BIO CHEM
2003326,LASERJET M712,LASER PRINTER,B228,CNECL360K1,HP,INSTRUCTION,ARCHITECTURAL
1003956,B5465,MULTI-FUNCTION PRINTER,SE308,2W8MQ42,DELL,INSTRUCTION,ALLIED HEALTH
